WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
2.000000000,2.000000000,0.802035794,1.087265051,510.614609912,489.344339805,1034.553254748,829.748741107,1.300000000,Repay 103.166257926
2.000000000,3.000000000,0.674031340,1.132599699,455.961820712,402.579853336,1099.263364605,740.937958657,1.300000000,"Sold 38.510200998 YIELD for 43.616642058 MOET, bought 64.710109856 FLOW | Repay 54.652789200"
2.000000000,4.000000000,0.710613567,1.194581021,496.063933609,415.261857412,1134.377289639,806.103892114,1.300000000,"Sold 20.888019382 YIELD for 24.952431520 MOET, bought 35.113925034 FLOW | Borrow 40.102112897"
2.000000000,5.000000000,0.673713101,1.232121989,470.304517850,394.355310829,1134.377289639,764.244841507,1.300000000,Repay 25.759415759
2.000000000,6.000000000,0.610917063,1.405232896,478.071987544,340.208366105,1271.640664191,776.866979759,1.300000000,"Sold 59.674476649 YIELD for 83.856537639 MOET, bought 137.263374552 FLOW | Borrow 7.767469694"
2.000000000,7.000000000,0.647092000,1.533628535,533.261397682,347.712229860,1339.144621218,866.549771233,1.300000000,"Sold 28.482301655 YIELD for 43.681270560 MOET, bought 67.503957026 FLOW | Borrow 55.189410138"
2.000000000,8.000000000,0.561970580,1.701359984,499.004403470,293.297366908,1442.926346142,810.882155639,1.300000000,"Sold 34.279797749 YIELD for 58.322276149 MOET, bought 103.781724924 FLOW | Repay 34.256994212"
2.000000000,9.000000000,0.486307422,1.798198530,449.297404360,249.859732874,1501.330740712,730.108282085,1.300000000,"Sold 15.794969289 YIELD for 28.402490557 MOET, bought 58.404394570 FLOW | Repay 49.706999110"
3.000000000,0.000000000,1.195809340,1.095999964,772.237686722,704.596452634,1049.403277719,1254.886240923,1.300000000,"Sold 53.902283635 YIELD for 59.076900923 MOET, bought 49.403277719 FLOW | Borrow 156.853071337"
3.000000000,1.000000000,1.223049754,1.208550543,838.630867302,693.914600560,1114.243435240,1362.775159366,1.300000000,"Sold 65.618057237 YIELD for 79.302738705 MOET, bought 64.840157521 FLOW | Borrow 66.393180580"
3.000000000,2.000000000,1.390779737,1.349225810,1013.713116016,751.329472430,1184.431847619,1647.283813526,1.300000000,"Sold 72.350099580 YIELD for 97.616621709 MOET, bought 70.188412379 FLOW | Borrow 175.082248714"
